NFLX,398.92,4/16/2019,,,,,,,
NFLX,408.95,4/15/2019,,,,,,,
NFLX,415.16,4/12/2019,,,,,,,
NVDA,251.7,4/24/2019,,,,,,,
NVDA,252.2,4/23/2019,,,,,,,
NVDA,253.44,4/22/2019,,,,,,,
NVDA,245.71,4/18/2019,,,,,,,
NVDA,248.41,4/17/2019,,,,,,,
NVDA,248.34,4/16/2019,,,,,,,
NVDA,251.59,4/15/2019,,,,,,,
NVDA,249.9,4/12/2019,,,,,,,
PEP,114.83,4/24/2019,,,,,,,
PEP,114.02,4/23/2019,,,,,,,
PEP,114.94,4/22/2019,,,,,,,
PEP,113.61,4/18/2019,,,,,,,
PEP,112.82,4/17/2019,,,,,,,
PEP,112.5,4/16/2019,,,,,,,
PEP,111.97,4/15/2019,,,,,,,
PEP,112.5,4/12/2019,,,,,,,
PYPL,88.22,4/24/2019,,,,,,,
PYPL,88.57,4/23/2019,,,,,,,
PYPL,87.16,4/22/2019,,,,,,,
PYPL,88.27,4/18/2019,,,,,,,
PYPL,87.65,4/17/2019,,,,,,,
PYPL,89,4/16/2019,,,,,,,
PYPL,88.56,4/15/2019,,,,,,,
PYPL,87,4/12/2019,,,,,,,
TXN,115.98,4/24/2019,,,,,,,
TXN,115.74,4/23/2019,,,,,,,
TXN,114.75,4/22/2019,,,,,,,
TXN,113.47,4/18/2019,,,,,,,
TXN,115.15,4/17/2019,,,,,,,
TXN,115.53,4/16/2019,,,,,,,
TXN,115.7,4/15/2019,,,,,,,
TXN,113.31,4/12/2019,,,,,,,
JVTSF ,1.32,4/24/2019,,,,,,,
JVTSF ,1.39,4/23/2019,,,,,,,
JVTSF ,1.54,4/22/2019,,,,,,,
JVTSF ,1.54,4/18/2019,,,,,,,
JVTSF ,1.6,4/17/2019,,,,,,,
JVTSF ,1.97,4/16/2019,,,,,,,
JVTSF ,1.87,4/15/2019,,,,,,,
JVTSF ,1.89,4/12/2019,,,,,,,
JVTSF ,1.84,4/11/2019,,,,,,,
JVTSF ,1.86,4/10/2019,,,,,,,
JVTSF ,1.792,4/9/2019,,,,,,,
JVTSF ,1.76,4/8/2019,,,,,,,
JVTSF ,1.765,4/5/2019,,,,,,,
JVTSF ,1.75,4/4/2019,,,,,,,
JVTSF ,1.64,4/3/2019,,,,,,,
EA,94.15,4/24/2019,,,,,,,
EA,94.63,4/23/2019,,,,,,,
EA,92.52,4/22/2019,,,,,,,
EA,93.14,4/18/2019,,,,,,,
EA,91.95,4/17/2019,,,,,,,
EA,93.83,4/16/2019,,,,,,,
EA,97.85,4/15/2019,,,,,,,
EA,101.83,4/12/2019,,,,,,,
EA,100.58,4/11/2019,,,,,,,
EA,99.63,4/10/2019,,,,,,,
EA,98.25,4/9/2019,,,,,,,
EA,97.95,4/8/2019,,,,,,,
EA,99.43,4/5/2019,,,,,,,
EA,97.94,4/4/2019,,,,,,,
EA,100.15,4/3/2019,,,,,,,
EA,100.84,4/2/2019,,,,,,,
PINS,102.67,4/24/2019,,,,,,,
PINS,101.63,4/23/2019,,,,,,,
PINS,102.2,4/22/2019,,,,,,,
PINS,100.67,4/18/2019,,,,,,,
